Size,Case,BubbleSort,BubbleSortOpt,GnomeSort,QuickSort,HeapSort,RadixSort,BucketSort
100,Random,0.000035,0.000027,0.000021,0.000008,0.000011,0.000006,0.000014
100,Best,0.000002,0.000002,0.000002,0.000013,0.000016,0.000006,0.000011
100,Worst,0.000023,0.000015,0.000044,0.000013,0.000009,0.000008,0.000010
500,Random,0.000669,0.000462,0.000362,0.000036,0.000050,0.000016,0.000043
500,Best,0.000002,0.000001,0.000001,0.000151,0.000037,0.000015,0.000025
500,Worst,0.000242,0.000153,0.000487,0.000106,0.000029,0.000013,0.000024
1000,Random,0.001075,0.000883,0.001231,0.000052,0.000066,0.000010,0.000051
1000,Best,0.000001,0.000002,0.000002,0.000514,0.000061,0.000015,0.000025
1000,Worst,0.000696,0.000446,0.001745,0.000390,0.000039,0.000019,0.000021
5000,Random,0.018547,0.011456,0.019147,0.000245,0.000303,0.000037,0.000218
5000,Best,0.000003,0.000005,0.000004,0.010621,0.000290,0.000092,0.000128
5000,Worst,0.013448,0.008305,0.038367,0.010646,0.000258,0.000093,0.000127
10000,Random,0.074355,0.046024,0.075316,0.000457,0.000683,0.000079,0.000456
10000,Best,0.000006,0.000009,0.000008,0.042899,0.000619,0.000184,0.000243
10000,Worst,0.053064,0.032936,0.153107,0.042749,0.000573,0.000266,0.000249
