n,Recursive,Iterative,Moves
3,0.000002,0.000000,7
4,0.000000,0.000000,15
5,0.000001,0.000000,31
6,0.000002,0.000000,63
7,0.000001,0.000001,127
8,0.000001,0.000001,255
9,0.000001,0.000000,511
10,0.000002,0.000000,1023
11,0.000005,0.000001,2047
12,0.000010,0.000000,4095
13,0.000022,0.000001,8191
14,0.000050,0.000000,16383
15,0.000104,0.000000,32767
16,0.000206,0.000000,65535
17,0.000310,0.000000,131071
18,0.000705,0.000000,262143
19,0.001398,0.000000,524287
20,0.002814,0.000000,1048575
21,0.005679,0.000000,2097151
22,0.011086,0.000001,4194303
23,0.022403,0.000002,8388607
24,0.044942,0.000002,16777215
25,0.089764,0.000001,33554431
26,,0.000000,67108863
27,,0.000001,134217727
28,,0.000000,268435455

n,Fibo_Rec,Fibo_Iter,Value
5,0.000001,0.000000000,5
10,0.000001,0.000000000,55
15,0.000005,0.000000000,610
20,0.000033,0.000000000,6765
25,0.000360,0.000000000,75025
30,0.004002,0.000001000,832040
35,0.044952,0.000001000,9227465
40,0.496447,0.000000000,102334155
45,,0.000000000,1134903170
